"Day","Hr","Temp","KWH"
2014-12-17,10,42.44,115
2014-12-17,11,42.86,115
2014-12-17,12,44.78,116
2014-12-17,13,46.04,117
2014-12-17,14,46.67,117
2014-12-17,15,47.21,117
2014-12-17,16,48.02,117
2014-12-17,17,46.94,116
2014-12-17,18,45.86,114
2014-12-17,19,44.96,73
2014-12-17,20,44.06,71
2014-12-17,21,42.98,70
2014-12-17,22,42.08,69
2014-12-17,23,41,67
2014-12-18,0,39.92,79
2014-12-18,1,39.92,78
2014-12-18,2,39.92,78
2014-12-18,3,39.92,77
2014-12-18,4,39.02,76
2014-12-18,5,37.04,73
2014-12-18,6,37.04,73
2014-12-18,7,36.32,111
2014-12-18,8,37.04,112
2014-12-18,9,39.92,114
2014-12-18,10,41,115
2014-12-18,11,42.98,116
2014-12-18,12,42.98,116
2014-12-18,13,42.98,115
2014-12-18,14,42.98,115
2014-12-18,15,42.08,113
2014-12-18,16,41,112
2014-12-18,17,41,111
2014-12-18,18,39.92,110
2014-12-18,19,39.02,68
2014-12-18,20,39.02,68
2014-12-18,21,39.02,67
2014-12-18,22,37.94,66
2014-12-18,23,37.04,64
2014-12-19,0,37.04,77
2014-12-19,1,37.04,77
2014-12-19,2,35.96,75
2014-12-19,3,35.06,74
2014-12-19,4,35.06,73
2014-12-19,5,33.98,72
2014-12-19,6,33.98,71
2014-12-19,7,33.98,110
2014-12-19,8,35.06,111
2014-12-19,9,33.98,109
2014-12-19,10,33.98,109
2014-12-19,11,35.06,110
2014-12-19,12,35.06,109
2014-12-19,13,35.06,109
2014-12-19,14,35.06,108
2014-12-19,15,35.06,108
2014-12-19,16,33.08,105
2014-12-19,17,32,103
2014-12-19,18,30.92,102
2014-12-19,19,30.92,62
2014-12-19,20,30.02,60
2014-12-19,21,30.02,60
2014-12-19,22,28.94,58
2014-12-19,23,28.94,58
2014-12-20,0,28.04,30
2014-12-20,1,28.04,29
2014-12-20,2,28.04,29
2014-12-20,3,28.04,28
2014-12-20,4,28.04,28
2014-12-20,5,28.04,27
2014-12-20,6,26.96,26
2014-12-20,7,28.04,66
2014-12-20,8,30.02,68
2014-12-20,9,30.11,67
2014-12-20,10,30.92,68
